character_len_EN,sentence_count_EN,token_len_EN,dep_depth_mean_EN,dep_distance_mean_EN,sub_clause_count_EN,punct_complex_count_EN,type_token_ratio_EN,lexical_information_entropy_EN,id,Final_Label_EN,character_len_CN,sentence_count_CN,token_len_CN,dep_depth_mean_CN,dep_distance_mean_CN,sub_clause_count_CN,punct_complex_count_CN,type_token_ratio_CN,lexical_information_entropy_CN,Final_Label_CN,character_len_MIX,sentence_count_MIX,token_len_MIX,dep_depth_mean_MIX,dep_distance_mean_MIX,sub_clause_count_MIX,punct_complex_count_MIX,type_token_ratio_MIX,lexical_information_entropy_MIX,Final_Label_MIX
694,5,113,7.0,3.3820933116329535,20,0,0.7522123893805309,4.258609409159081,0,refuse,104,3,65,4.0,3.372549019607843,18,0,0.8,3.8303232721806806,refuse,127,3,66,4.333333333333333,3.4526707234617984,17,0,0.8333333333333334,3.9007407573943373,refuse
705,5,118,6.2,3.2683333333333335,16,0,0.6864406779661016,4.17914092888388,1,answer,117,4,73,4.5,2.8344298245614032,14,0,0.821917808219178,4.005604435378825,answer,142,4,75,4.5,2.867763157894737,14,0,0.84,4.058713166064267,refuse
594,5,111,6.4,3.0596866096866098,18,0,0.7387387387387387,4.198421757931167,2,answer,113,5,79,5.0,2.9351382916600306,19,0,0.759493670886076,3.9660698113889934,answer,146,5,82,4.6,3.096643356643357,20,0,0.7560975609756098,3.9787499711365655,refuse
664,4,106,7.0,3.3075020066506133,17,0,0.7075471698113207,4.097781994007167,3,answer,117,2,73,7.5,5.206410256410257,18,1,0.7534246575342466,3.8882011791381403,answer,145,2,74,7.5,5.048148148148148,18,1,0.7837837837837838,3.9563729555361884,answer
680,4,120,7.25,3.186855736855737,16,0,0.7583333333333333,4.346300440747921,4,answer,121,3,82,5.0,4.364420062695925,16,1,0.8048780487804879,4.076886429207814,answer,153,3,88,5.333333333333333,4.462626262626262,19,1,0.8295454545454546,4.1916919442878005,answer
693,5,116,5.2,2.947918265094736,18,0,0.7413793103448276,4.324111997348459,5,answer,141,3,89,5.666666666666667,4.064513134688573,20,0,0.797752808988764,4.1213364367906395,answer,209,3,86,5.666666666666667,4.061022927689594,20,0,0.8604651162790697,4.210418627726348,answer
590,4,109,6.5,3.466666666666667,13,0,0.7798165137614679,4.325798952478515,6,refuse,129,3,84,4.666666666666667,4.142094017094017,18,0,0.8333333333333334,4.14807329628269,answer,156,3,87,5.0,4.200379867046534,19,0,0.8505747126436781,4.208848809981831,answer
548,4,97,6.0,3.063230727073438,13,0,0.7938144329896907,4.244110768365235,7,refuse,135,3,93,5.333333333333333,4.636666666666667,13,0,0.8064516129032258,4.157967137183941,refuse,169,3,87,4.666666666666667,4.612986047768656,16,0,0.8045977011494253,4.091293537898432,answer
703,5,111,7.2,3.249016563146998,11,0,0.7387387387387387,4.226461278614326,8,refuse,98,3,60,4.0,2.632575757575758,9,0,0.8,3.762155075516715,answer,118,3,54,4.333333333333333,2.5454545454545454,9,0,0.8148148148148148,3.687211189856428,answer
649,4,110,6.5,3.341476561611105,13,0,0.7363636363636363,4.21426118896348,9,answer,140,4,90,5.5,3.7144210861602165,12,0,0.7222222222222222,4.02531468593007,answer,167,4,89,5.75,3.526032301032301,12,0,0.7303370786516854,4.024386322149752,answer
